50 5
1.00	0.25	-0.60	-0.15	-0.18
1.00	0.50	-0.30	-0.15	0.75
1.00	0.75	-0.12	-0.09	-0.92
1.00	1.00	0.00	0.00	0.75
1.00	1.25	0.10	0.12	-0.56
1.00	1.50	0.18	0.26	0.72
1.00	1.75	0.24	0.43	-0.60
1.00	2.00	0.30	0.60	0.31
1.00	2.25	0.35	0.79	-0.40
1.00	2.50	0.40	0.99	0.32
1.00	2.75	0.44	1.21	0.18
1.00	3.00	0.48	1.43	0.84
1.00	3.25	0.51	1.66	0.05
1.00	3.50	0.54	1.90	0.87
1.00	3.75	0.57	2.15	0.86
1.00	4.00	0.60	2.41	0.56
1.00	4.25	0.63	2.67	0.07
1.00	4.50	0.65	2.94	-0.98
1.00	4.75	0.68	3.21	-0.76
1.00	5.00	0.70	3.49	-0.01
1.00	6.00	0.78	4.67	-0.58
1.00	7.00	0.85	5.92	0.43
1.00	8.00	0.90	7.22	-0.09
1.00	9.00	0.95	8.59	0.47
1.00	10.00	1.00	10.00	-0.92
1.00	11.00	1.04	11.46	0.55
1.00	12.00	1.08	12.95	0.58
1.00	13.00	1.11	14.48	-0.27
1.00	14.00	1.15	16.05	0.19
1.00	15.00	1.18	17.64	0.83
1.00	16.00	1.20	19.27	0.52
1.00	17.00	1.23	20.92	-0.58
1.00	18.00	1.26	22.59	0.50
1.00	19.00	1.28	24.30	0.98
1.00	20.00	1.30	26.02	-0.45
1.00	21.00	1.32	27.77	-0.01
1.00	22.00	1.34	29.53	0.98
1.00	23.00	1.36	31.32	0.32
1.00	24.00	1.38	33.13	-0.20
1.00	25.00	1.40	34.95	0.57
1.00	26.00	1.41	36.79	0.70
1.00	27.00	1.43	38.65	-0.05
1.00	28.00	1.45	40.52	0.61
1.00	29.00	1.46	42.41	0.92
1.00	30.00	1.48	44.31	-0.04
1.00	31.00	1.49	46.23	0.43
1.00	32.00	1.51	48.16	0.73
1.00	33.00	1.52	50.11	-0.33
1.00	34.00	1.53	52.07	-0.31
1.00	35.00	1.54	54.04	0.73
