50 4
1.00	0.25	0.06	0.77
1.00	0.50	0.25	0.29
1.00	0.75	0.56	0.69
1.00	1.00	1.00	-0.52
1.00	1.25	1.56	0.81
1.00	1.50	2.25	0.78
1.00	1.75	3.06	0.55
1.00	2.00	4.00	-0.54
1.00	2.25	5.06	-0.76
1.00	2.50	6.25	0.39
1.00	2.75	7.56	-0.80
1.00	3.00	9.00	0.74
1.00	3.25	10.56	-0.07
1.00	3.50	12.25	-0.28
1.00	3.75	14.06	-0.29
1.00	4.00	16.00	-0.48
1.00	4.25	18.06	0.11
1.00	4.50	20.25	0.17
1.00	4.75	22.56	0.26
1.00	5.00	25.00	0.86
1.00	6.00	36.00	0.99
1.00	7.00	49.00	-0.36
1.00	8.00	64.00	0.92
1.00	9.00	81.00	-0.97
1.00	10.00	100.00	0.35
1.00	11.00	121.00	-0.30
1.00	12.00	144.00	0.73
1.00	13.00	169.00	1.00
1.00	14.00	196.00	-0.95
1.00	15.00	225.00	-0.91
1.00	16.00	256.00	-0.49
1.00	17.00	289.00	0.48
1.00	18.00	324.00	-0.76
1.00	19.00	361.00	-0.64
1.00	20.00	400.00	0.34
1.00	21.00	441.00	0.46
1.00	22.00	484.00	-0.79
1.00	23.00	529.00	-0.56
1.00	24.00	576.00	0.26
1.00	25.00	625.00	-0.74
1.00	26.00	676.00	0.83
1.00	27.00	729.00	-0.26
1.00	28.00	784.00	0.14
1.00	29.00	841.00	-0.01
1.00	30.00	900.00	-0.50
1.00	31.00	961.00	-0.47
1.00	32.00	1024.00	-0.25
1.00	33.00	1089.00	-1.00
1.00	34.00	1156.00	-0.07
1.00	35.00	1225.00	-0.25

