100 2
0 1
1000000 1
2000000 1
3000000 1
4000000 1
5000000 1
6000000 1
7000000 1
8000000 1
9000000 1
10000000 1
11000000 1
12000000 1
13000000 1
14000000 1
15000000 1
16000000 1
17000000 1
18000000 1
19000000 1
20000000 1
21000000 1
22000000 1
23000000 1
24000000 1
25000000 1
26000000 1
27000000 1
28000000 1
29000000 1
30000000 1
31000000 1
32000000 1
33000000 1
34000000 1
35000000 1
36000000 1
37000000 1
38000000 1
39000000 1
40000000 1
41000000 1
42000000 1
43000000 1
44000000 1
45000000 1
46000000 1
47000000 1
48000000 1
49000000 1
50000000 1
51000000 1
52000000 1
53000000 1
54000000 1
55000000 1
56000000 1
57000000 1
